chrom	txStart	txEnd	strand	TF	Bin_1kb	Bin_5kb	Bin_10kb	Bin_25kb	Bin_50kb	Bin_100kb	Bin_250kb	Bin_500kb	Bin_1000kb
chr3	56761445	57113336	-	ARHGEF3	chr3:57113000	chr3:57110000	chr3:57110000	chr3:57100000	chr3:57100000	chr3:57100000	chr3:57000000	chr3:57000000	chr3:57000000
chr9	35659340	35665278	-	ARHGEF39	chr9:35665000	chr9:35665000	chr9:35660000	chr9:35650000	chr9:35650000	chr9:35600000	chr9:35500000	chr9:35500000	chr9:35000000
chr14	21538418	21558406	+	ARHGEF40	chr14:21538000	chr14:21535000	chr14:21530000	chr14:21525000	chr14:21500000	chr14:21500000	chr14:21500000	chr14:21500000	chr14:21000000
chrX	135747711	135863503	-	ARHGEF6	chrX:135863000	chrX:135860000	chrX:135860000	chrX:135850000	chrX:135850000	chrX:135800000	chrX:135750000	chrX:135500000	chrX:135000000
chr13	111766965	111958081	+	ARHGEF7	chr13:111766000	chr13:111765000	chr13:111760000	chr13:111750000	chr13:111750000	chr13:111700000	chr13:111750000	chr13:111500000	chr13:111000000
chrX	62854847	63005426	-	ARHGEF9	chrX:63005000	chrX:63005000	chrX:63000000	chrX:63000000	chrX:63000000	chrX:63000000	chrX:63000000	chrX:63000000	chrX:63000000
chr1	27022521	27108601	+	ARID1A	chr1:27022000	chr1:27020000	chr1:27020000	chr1:27000000	chr1:27000000	chr1:27000000	chr1:27000000	chr1:27000000	chr1:27000000
chr6	157099063	157531913	+	ARID1B	chr6:157099000	chr6:157095000	chr6:157090000	chr6:157075000	chr6:157050000	chr6:157000000	chr6:157000000	chr6:157000000	chr6:157000000
chr12	46123619	46301819	+	ARID2	chr12:46123000	chr12:46120000	chr12:46120000	chr12:46100000	chr12:46100000	chr12:46100000	chr12:46000000	chr12:46000000	chr12:46000000
chr19	926036	972803	+	ARID3A	chr19:926000	chr19:925000	chr19:920000	chr19:925000	chr19:900000	chr19:900000	chr19:750000	chr19:500000	chr19:0
chr15	74833517	74890472	+	ARID3B	chr15:74833000	chr15:74830000	chr15:74830000	chr15:74825000	chr15:74800000	chr15:74800000	chr15:74750000	chr15:74500000	chr15:74000000
chr14	58765221	58840451	+	ARID4A	chr14:58765000	chr14:58765000	chr14:58760000	chr14:58750000	chr14:58750000	chr14:58700000	chr14:58750000	chr14:58500000	chr14:58000000
chr1	235330209	235491534	-	ARID4B	chr1:235491000	chr1:235490000	chr1:235490000	chr1:235475000	chr1:235450000	chr1:235400000	chr1:235250000	chr1:235000000	chr1:235000000
chr2	97202455	97218375	+	ARID5A	chr2:97202000	chr2:97200000	chr2:97200000	chr2:97200000	chr2:97200000	chr2:97200000	chr2:97000000	chr2:97000000	chr2:97000000
chr10	63661012	63856707	+	ARID5B	chr10:63661000	chr10:63660000	chr10:63660000	chr10:63650000	chr10:63650000	chr10:63600000	chr10:63500000	chr10:63500000	chr10:63000000
chr15	72766666	72878896	+	ARIH1	chr15:72766000	chr15:72765000	chr15:72760000	chr15:72750000	chr15:72750000	chr15:72700000	chr15:72750000	chr15:72500000	chr15:72000000
chr3	48956252	49022971	+	ARIH2	chr3:48956000	chr3:48955000	chr3:48950000	chr3:48950000	chr3:48950000	chr3:48900000	chr3:48750000	chr3:48500000	chr3:48000000
chr12	101786897	101801598	-	ARL1	chr12:101801000	chr12:101800000	chr12:101800000	chr12:101800000	chr12:101800000	chr12:101800000	chr12:101750000	chr12:101500000	chr12:101000000
chr5	175792470	175800503	+	ARL10	chr5:175792000	chr5:175790000	chr5:175790000	chr5:175775000	chr5:175750000	chr5:175700000	chr5:175750000	chr5:175500000	chr5:175000000
chr13	50202434	50208008	+	ARL11	chr13:50202000	chr13:50200000	chr13:50200000	chr13:50200000	chr13:50200000	chr13:50200000	chr13:50000000	chr13:50000000	chr13:50000000
chr3	93698982	93774522	+	ARL13B	chr3:93698000	chr3:93695000	chr3:93690000	chr3:93675000	chr3:93650000	chr3:93600000	chr3:93500000	chr3:93500000	chr3:93000000
chr11	30344645	30359770	+	ARL14EP	chr11:30344000	chr11:30340000	chr11:30340000	chr11:30325000	chr11:30300000	chr11:30300000	chr11:30250000	chr11:30000000	chr11:30000000
chr5	53180613	53606403	-	ARL15	chr5:53606000	chr5:53605000	chr5:53600000	chr5:53600000	chr5:53600000	chr5:53600000	chr5:53500000	chr5:53500000	chr5:53000000
chr17	79648223	79650954	-	ARL16	chr17:79650000	chr17:79650000	chr17:79650000	chr17:79650000	chr17:79650000	chr17:79600000	chr17:79500000	chr17:79500000	chr17:79000000
chr11	64781584	64789657	+	ARL2	chr11:64781000	chr11:64780000	chr11:64780000	chr11:64775000	chr11:64750000	chr11:64700000	chr11:64750000	chr11:64500000	chr11:64000000
chr16	57279037	57287545	+	ARL2BP	chr16:57279000	chr16:57275000	chr16:57270000	chr16:57275000	chr16:57250000	chr16:57200000	chr16:57250000	chr16:57000000	chr16:57000000
chr10	104433483	104474190	-	ARL3	chr10:104474000	chr10:104470000	chr10:104470000	chr10:104450000	chr10:104450000	chr10:104400000	chr10:104250000	chr10:104000000	chr10:104000000
chr2	235401685	235405697	-	ARL4C	chr2:235405000	chr2:235405000	chr2:235400000	chr2:235400000	chr2:235400000	chr2:235400000	chr2:235250000	chr2:235000000	chr2:235000000
chr17	41476352	41478504	+	ARL4D	chr17:41476000	chr17:41475000	chr17:41470000	chr17:41475000	chr17:41450000	chr17:41400000	chr17:41250000	chr17:41000000	chr17:41000000
chr2	152657479	152685009	-	ARL5A	chr2:152685000	chr2:152685000	chr2:152680000	chr2:152675000	chr2:152650000	chr2:152600000	chr2:152500000	chr2:152500000	chr2:152000000
chr10	18948312	18966940	+	ARL5B	chr10:18948000	chr10:18945000	chr10:18940000	chr10:18925000	chr10:18900000	chr10:18900000	chr10:18750000	chr10:18500000	chr10:18000000
chr3	97483364	97520086	+	ARL6	chr3:97483000	chr3:97480000	chr3:97480000	chr3:97475000	chr3:97450000	chr3:97400000	chr3:97250000	chr3:97000000	chr3:97000000
chr16	18802988	18813000	-	ARL6IP1	chr16:18813000	chr16:18810000	chr16:18810000	chr16:18800000	chr16:18800000	chr16:18800000	chr16:18750000	chr16:18500000	chr16:18000000
chr12	123464606	123467460	+	ARL6IP4	chr12:123464000	chr12:123460000	chr12:123460000	chr12:123450000	chr12:123450000	chr12:123400000	chr12:123250000	chr12:123000000	chr12:123000000
chr3	69134089	69155239	+	ARL6IP5	chr3:69134000	chr3:69130000	chr3:69130000	chr3:69125000	chr3:69100000	chr3:69100000	chr3:69000000	chr3:69000000	chr3:69000000
chr2	153574406	153617767	+	ARL6IP6	chr2:153574000	chr2:153570000	chr2:153570000	chr2:153550000	chr2:153550000	chr2:153500000	chr2:153500000	chr2:153500000	chr2:153000000
chr1	202102531	202113871	-	ARL8A	chr1:202113000	chr1:202110000	chr1:202110000	chr1:202100000	chr1:202100000	chr1:202100000	chr1:202000000	chr1:202000000	chr1:202000000
chr3	5163929	5222601	+	ARL8B	chr3:5163000	chr3:5160000	chr3:5160000	chr3:5150000	chr3:5150000	chr3:5100000	chr3:5000000	chr3:5000000	chr3:5000000
chr8	66514690	66546452	-	ARMC1	chr8:66546000	chr8:66545000	chr8:66540000	chr8:66525000	chr8:66500000	chr8:66500000	chr8:66500000	chr8:66500000	chr8:66000000
chr7	102715327	102740210	+	ARMC10	chr7:102715000	chr7:102715000	chr7:102710000	chr7:102700000	chr7:102700000	chr7:102700000	chr7:102500000	chr7:102500000	chr7:102000000
chr6	35704808	35716690	+	ARMC12	chr6:35704000	chr6:35700000	chr6:35700000	chr6:35700000	chr6:35700000	chr6:35700000	chr6:35500000	chr6:35500000	chr6:35000000
chr6	109169618	109295675	+	ARMC2	chr6:109169000	chr6:109165000	chr6:109160000	chr6:109150000	chr6:109150000	chr6:109100000	chr6:109000000	chr6:109000000	chr6:109000000
chr16	31469593	31478488	+	ARMC5	chr16:31469000	chr16:31465000	chr16:31460000	chr16:31450000	chr16:31450000	chr16:31400000	chr16:31250000	chr16:31000000	chr16:31000000
chr19	19144386	19168987	+	ARMC6	chr19:19144000	chr19:19140000	chr19:19140000	chr19:19125000	chr19:19100000	chr19:19100000	chr19:19000000	chr19:19000000	chr19:19000000
chr17	73106046	73126360	+	ARMC7	chr17:73106000	chr17:73105000	chr17:73100000	chr17:73100000	chr17:73100000	chr17:73100000	chr17:73000000	chr17:73000000	chr17:73000000
chr3	137906089	138017228	+	ARMC8	chr3:137906000	chr3:137905000	chr3:137900000	chr3:137900000	chr3:137900000	chr3:137900000	chr3:137750000	chr3:137500000	chr3:137000000
chr2	232063259	232240590	+	ARMC9	chr2:232063000	chr2:232060000	chr2:232060000	chr2:232050000	chr2:232050000	chr2:232000000	chr2:232000000	chr2:232000000	chr2:232000000
chrX	100805513	100809675	+	ARMCX1	chrX:100805000	chrX:100805000	chrX:100800000	chrX:100800000	chrX:100800000	chrX:100800000	chrX:100750000	chrX:100500000	chrX:100000000
chrX	100910267	100914876	-	ARMCX2	chrX:100914000	chrX:100910000	chrX:100910000	chrX:100900000	chrX:100900000	chrX:100900000	chrX:100750000	chrX:100500000	chrX:100000000
chrX	100878119	100882831	+	ARMCX3	chrX:100878000	chrX:100875000	chrX:100870000	chrX:100875000	chrX:100850000	chrX:100800000	chrX:100750000	chrX:100500000	chrX:100000000
chrX	101854095	101859085	+	ARMCX5	chrX:101854000	chrX:101850000	chrX:101850000	chrX:101850000	chrX:101850000	chrX:101800000	chrX:101750000	chrX:101500000	chrX:101000000
chrX	100870107	100872991	-	ARMCX6	chrX:100872000	chrX:100870000	chrX:100870000	chrX:100850000	chrX:100850000	chrX:100800000	chrX:100750000	chrX:100500000	chrX:100000000
chr1	150782180	150849244	-	ARNT	chr1:150849000	chr1:150845000	chr1:150840000	chr1:150825000	chr1:150800000	chr1:150800000	chr1:150750000	chr1:150500000	chr1:150000000
chr11	13299273	13408812	+	ARNTL	chr11:13299000	chr11:13295000	chr11:13290000	chr11:13275000	chr11:13250000	chr11:13200000	chr11:13250000	chr11:13000000	chr11:13000000
chr12	27485786	27578746	+	ARNTL2	chr12:27485000	chr12:27485000	chr12:27480000	chr12:27475000	chr12:27450000	chr12:27400000	chr12:27250000	chr12:27000000	chr12:27000000
chr7	98923495	98963885	+	ARPC1A	chr7:98923000	chr7:98920000	chr7:98920000	chr7:98900000	chr7:98900000	chr7:98900000	chr7:98750000	chr7:98500000	chr7:98000000
chr7	98972297	98992404	+	ARPC1B	chr7:98972000	chr7:98970000	chr7:98970000	chr7:98950000	chr7:98950000	chr7:98900000	chr7:98750000	chr7:98500000	chr7:98000000
chr2	219081816	219119071	+	ARPC2	chr2:219081000	chr2:219080000	chr2:219080000	chr2:219075000	chr2:219050000	chr2:219000000	chr2:219000000	chr2:219000000	chr2:219000000
chr12	110872694	110888216	-	ARPC3	chr12:110888000	chr12:110885000	chr12:110880000	chr12:110875000	chr12:110850000	chr12:110800000	chr12:110750000	chr12:110500000	chr12:110000000
chr3	9834178	9848789	+	ARPC4	chr3:9834000	chr3:9830000	chr3:9830000	chr3:9825000	chr3:9800000	chr3:9800000	chr3:9750000	chr3:9500000	chr3:9000000
chr3	9834231	9878040	+	ARPC4-TTLL3	chr3:9834000	chr3:9830000	chr3:9830000	chr3:9825000	chr3:9800000	chr3:9800000	chr3:9750000	chr3:9500000	chr3:9000000
chr1	183595327	183605076	-	ARPC5	chr1:183605000	chr1:183605000	chr1:183600000	chr1:183600000	chr1:183600000	chr1:183600000	chr1:183500000	chr1:183500000	chr1:183000000
chr9	127624396	127640012	+	ARPC5L	chr9:127624000	chr9:127620000	chr9:127620000	chr9:127600000	chr9:127600000	chr9:127600000	chr9:127500000	chr9:127500000	chr9:127000000
chr15	52839241	52861643	-	ARPP19	chr15:52861000	chr15:52860000	chr15:52860000	chr15:52850000	chr15:52850000	chr15:52800000	chr15:52750000	chr15:52500000	chr15:52000000
chr3	35680665	35835988	+	ARPP21	chr3:35680000	chr3:35680000	chr3:35680000	chr3:35675000	chr3:35650000	chr3:35600000	chr3:35500000	chr3:35500000	chr3:35000000
chr11	74971165	75062875	-	ARRB1	chr11:75062000	chr11:75060000	chr11:75060000	chr11:75050000	chr11:75050000	chr11:75000000	chr11:75000000	chr11:75000000	chr11:75000000
chr17	4613788	4624795	+	ARRB2	chr17:4613000	chr17:4610000	chr17:4610000	chr17:4600000	chr17:4600000	chr17:4600000	chr17:4500000	chr17:4500000	chr17:4000000
chr9	140500091	140509812	+	ARRDC1	chr9:140500000	chr9:140500000	chr9:140500000	chr9:140500000	chr9:140500000	chr9:140500000	chr9:140500000	chr9:140500000	chr9:140000000
chr19	18111940	18124911	+	ARRDC2	chr19:18111000	chr19:18110000	chr19:18110000	chr19:18100000	chr19:18100000	chr19:18100000	chr19:18000000	chr19:18000000	chr19:18000000
chr5	90664540	90679149	-	ARRDC3	chr5:90679000	chr5:90675000	chr5:90670000	chr5:90675000	chr5:90650000	chr5:90600000	chr5:90500000	chr5:90500000	chr5:90000000
chr22	51061181	51066601	-	ARSA	chr22:51066000	chr22:51065000	chr22:51060000	chr22:51050000	chr22:51050000	chr22:51000000	chr22:51000000	chr22:51000000	chr22:51000000
chr5	78073036	78282357	-	ARSB	chr5:78282000	chr5:78280000	chr5:78280000	chr5:78275000	chr5:78250000	chr5:78200000	chr5:78250000	chr5:78000000	chr5:78000000
chr17	66255322	66417000	+	ARSG	chr17:66255000	chr17:66255000	chr17:66250000	chr17:66250000	chr17:66250000	chr17:66200000	chr17:66250000	chr17:66000000	chr17:66000000
chr4	114821439	114900878	-	ARSJ	chr4:114900000	chr4:114900000	chr4:114900000	chr4:114900000	chr4:114900000	chr4:114900000	chr4:114750000	chr4:114500000	chr4:114000000
chr5	94890824	94940806	+	ARSK	chr5:94890000	chr5:94890000	chr5:94890000	chr5:94875000	chr5:94850000	chr5:94800000	chr5:94750000	chr5:94500000	chr5:94000000
chr4	76932332	77033955	+	ART3	chr4:76932000	chr4:76930000	chr4:76930000	chr4:76925000	chr4:76900000	chr4:76900000	chr4:76750000	chr4:76500000	chr4:76000000
chr1	231114822	231136479	+	ARV1	chr1:231114000	chr1:231110000	chr1:231110000	chr1:231100000	chr1:231100000	chr1:231100000	chr1:231000000	chr1:231000000	chr1:231000000
chr22	19957401	20004309	-	ARVCF	chr22:20004000	chr22:20000000	chr22:20000000	chr22:20000000	chr22:20000000	chr22:20000000	chr22:20000000	chr22:20000000	chr22:20000000
chrX	25021812	25034065	-	ARX	chrX:25034000	chrX:25030000	chrX:25030000	chrX:25025000	chrX:25000000	chrX:25000000	chrX:25000000	chrX:25000000	chrX:25000000
chr10	104629209	104661655	+	AS3MT	chr10:104629000	chr10:104625000	chr10:104620000	chr10:104625000	chr10:104600000	chr10:104600000	chr10:104500000	chr10:104500000	chr10:104000000
chr8	17913807	17942507	-	ASAH1	chr8:17942000	chr8:17940000	chr8:17940000	chr8:17925000	chr8:17900000	chr8:17900000	chr8:17750000	chr8:17500000	chr8:17000000
chr10	52499447	52516946	+	ASAH2B	chr10:52499000	chr10:52495000	chr10:52490000	chr10:52475000	chr10:52450000	chr10:52400000	chr10:52250000	chr10:52000000	chr10:52000000
chr8	131064350	131455906	-	ASAP1	chr8:131455000	chr8:131455000	chr8:131450000	chr8:131450000	chr8:131450000	chr8:131400000	chr8:131250000	chr8:131000000	chr8:131000000
chr2	9346893	9545812	+	ASAP2	chr2:9346000	chr2:9345000	chr2:9340000	chr2:9325000	chr2:9300000	chr2:9300000	chr2:9250000	chr2:9000000	chr2:9000000
chr2	239335625	239360891	+	ASB1	chr2:239335000	chr2:239335000	chr2:239330000	chr2:239325000	chr2:239300000	chr2:239300000	chr2:239250000	chr2:239000000	chr2:239000000
chr10	5680819	5708558	-	ASB13	chr10:5708000	chr10:5705000	chr10:5700000	chr10:5700000	chr10:5700000	chr10:5700000	chr10:5500000	chr10:5500000	chr10:5000000
chr14	94400498	94443076	-	ASB2	chr14:94443000	chr14:94440000	chr14:94440000	chr14:94425000	chr14:94400000	chr14:94400000	chr14:94250000	chr14:94000000	chr14:94000000
chr9	132396882	132404448	-	ASB6	chr9:132404000	chr9:132400000	chr9:132400000	chr9:132400000	chr9:132400000	chr9:132400000	chr9:132250000	chr9:132000000	chr9:132000000
chr15	101142754	101191904	+	ASB7	chr15:101142000	chr15:101140000	chr15:101140000	chr15:101125000	chr15:101100000	chr15:101100000	chr15:101000000	chr15:101000000	chr15:101000000
chr12	48541570	48551378	-	ASB8	chr12:48551000	chr12:48550000	chr12:48550000	chr12:48550000	chr12:48550000	chr12:48500000	chr12:48500000	chr12:48500000	chr12:48000000
chrX	15262108	15288589	-	ASB9	chrX:15288000	chrX:15285000	chrX:15280000	chrX:15275000	chrX:15250000	chrX:15200000	chrX:15250000	chrX:15000000	chrX:15000000
chr10	73855789	73976892	-	ASCC1	chr10:73976000	chr10:73975000	chr10:73970000	chr10:73975000	chr10:73950000	chr10:73900000	chr10:73750000	chr10:73500000	chr10:73000000
chr22	30184596	30234293	-	ASCC2	chr22:30234000	chr22:30230000	chr22:30230000	chr22:30225000	chr22:30200000	chr22:30200000	chr22:30000000	chr22:30000000	chr22:30000000
chr6	100956070	101329248	-	ASCC3	chr6:101329000	chr6:101325000	chr6:101320000	chr6:101325000	chr6:101300000	chr6:101300000	chr6:101250000	chr6:101000000	chr6:101000000
chr12	103351451	103354294	+	ASCL1	chr12:103351000	chr12:103350000	chr12:103350000	chr12:103350000	chr12:103350000	chr12:103300000	chr12:103250000	chr12:103000000	chr12:103000000
chr11	2289727	2292182	-	ASCL2	chr11:2292000	chr11:2290000	chr11:2290000	chr11:2275000	chr11:2250000	chr11:2200000	chr11:2250000	chr11:2000000	chr11:2000000
chr6	119215240	119230335	+	ASF1A	chr6:119215000	chr6:119215000	chr6:119210000	chr6:119200000	chr6:119200000	chr6:119200000	chr6:119000000	chr6:119000000	chr6:119000000
chr19	14230320	14247440	-	ASF1B	chr19:14247000	chr19:14245000	chr19:14240000	chr19:14225000	chr19:14200000	chr19:14200000	chr19:14000000	chr19:14000000	chr19:14000000
chr1	155305051	155532324	-	ASH1L	chr1:155532000	chr1:155530000	chr1:155530000	chr1:155525000	chr1:155500000	chr1:155500000	chr1:155500000	chr1:155500000	chr1:155000000
chr8	37963010	37997598	+	ASH2L	chr8:37963000	chr8:37960000	chr8:37960000	chr8:37950000	chr8:37950000	chr8:37900000	chr8:37750000	chr8:37500000	chr8:37000000
chr12	50451419	50477405	+	ASIC1	chr12:50451000	chr12:50450000	chr12:50450000	chr12:50450000	chr12:50450000	chr12:50400000	chr12:50250000	chr12:50000000	chr12:50000000
chr2	220378891	220403494	+	ASIC4	chr2:220378000	chr2:220375000	chr2:220370000	chr2:220375000	chr2:220350000	chr2:220300000	chr2:220250000	chr2:220000000	chr2:220000000
chr7	65540775	65558329	+	ASL	chr7:65540000	chr7:65540000	chr7:65540000	chr7:65525000	chr7:65500000	chr7:65500000	chr7:65500000	chr7:65500000	chr7:65000000
chrX	1522031	1572655	-	ASMTL	chrX:1572000	chrX:1570000	chrX:1570000	chrX:1550000	chrX:1550000	chrX:1500000	chrX:1500000	chrX:1500000	chrX:1000000
chr19	12848305	12859137	+	ASNA1	chr19:12848000	chr19:12845000	chr19:12840000	chr19:12825000	chr19:12800000	chr19:12800000	chr19:12750000	chr19:12500000	chr19:12000000
chr7	97481428	97501854	-	ASNS	chr7:97501000	chr7:97500000	chr7:97500000	chr7:97500000	chr7:97500000	chr7:97500000	chr7:97500000	chr7:97500000	chr7:97000000
chr2	190526124	190535557	+	ASNSD1	chr2:190526000	chr2:190525000	chr2:190520000	chr2:190525000	chr2:190500000	chr2:190500000	chr2:190500000	chr2:190500000	chr2:190000000
chr17	3377403	3402700	+	ASPA	chr17:3377000	chr17:3375000	chr17:3370000	chr17:3375000	chr17:3350000	chr17:3300000	chr17:3250000	chr17:3000000	chr17:3000000
chr8	62413114	62627199	-	ASPH	chr8:62627000	chr8:62625000	chr8:62620000	chr8:62625000	chr8:62600000	chr8:62600000	chr8:62500000	chr8:62500000	chr8:62000000
chr16	29912146	29917377	+	ASPHD1	chr16:29912000	chr16:29910000	chr16:29910000	chr16:29900000	chr16:29900000	chr16:29900000	chr16:29750000	chr16:29500000	chr16:29000000
chr22	26825279	26840978	+	ASPHD2	chr22:26825000	chr22:26825000	chr22:26820000	chr22:26825000	chr22:26800000	chr22:26800000	chr22:26750000	chr22:26500000	chr22:26000000
chr1	197053256	197115824	-	ASPM	chr1:197115000	chr1:197115000	chr1:197110000	chr1:197100000	chr1:197100000	chr1:197100000	chr1:197000000	chr1:197000000	chr1:197000000
chr17	79935425	79975282	+	ASPSCR1	chr17:79935000	chr17:79935000	chr17:79930000	chr17:79925000	chr17:79900000	chr17:79900000	chr17:79750000	chr17:79500000	chr17:79000000
chr11	62104773	62160887	+	ASRGL1	chr11:62104000	chr11:62100000	chr11:62100000	chr11:62100000	chr11:62100000	chr11:62100000	chr11:62000000	chr11:62000000	chr11:62000000
chr9	133320093	133376661	+	ASS1	chr9:133320000	chr9:133320000	chr9:133320000	chr9:133300000	chr9:133300000	chr9:133300000	chr9:133250000	chr9:133000000	chr9:133000000
chr3	130732716	130745698	-	ASTE1	chr3:130745000	chr3:130745000	chr3:130740000	chr3:130725000	chr3:130700000	chr3:130700000	chr3:130500000	chr3:130500000	chr3:130000000
chr9	119187503	120177317	-	ASTN2	chr9:120177000	chr9:120175000	chr9:120170000	chr9:120175000	chr9:120150000	chr9:120100000	chr9:120000000	chr9:120000000	chr9:120000000
chr12	27058111	27091254	-	ASUN	chr12:27091000	chr12:27090000	chr12:27090000	chr12:27075000	chr12:27050000	chr12:27000000	chr12:27000000	chr12:27000000	chr12:27000000
chr20	30946146	31027122	+	ASXL1	chr20:30946000	chr20:30945000	chr20:30940000	chr20:30925000	chr20:30900000	chr20:30900000	chr20:30750000	chr20:30500000	chr20:30000000
chr2	25962252	26101312	-	ASXL2	chr2:26101000	chr2:26100000	chr2:26100000	chr2:26100000	chr2:26100000	chr2:26100000	chr2:26000000	chr2:26000000	chr2:26000000
chr10	89511268	89577988	-	ATAD1	chr10:89577000	chr10:89575000	chr10:89570000	chr10:89575000	chr10:89550000	chr10:89500000	chr10:89500000	chr10:89500000	chr10:89000000
chr8	124332090	124408705	-	ATAD2	chr8:124408000	chr8:124405000	chr8:124400000	chr8:124400000	chr8:124400000	chr8:124400000	chr8:124250000	chr8:124000000	chr8:124000000
chr2	23971533	24149984	-	ATAD2B	chr2:24149000	chr2:24145000	chr2:24140000	chr2:24125000	chr2:24100000	chr2:24100000	chr2:24000000	chr2:24000000	chr2:24000000
chr1	1447522	1470067	+	ATAD3A	chr1:1447000	chr1:1445000	chr1:1440000	chr1:1425000	chr1:1400000	chr1:1400000	chr1:1250000	chr1:1000000	chr1:1000000
chr1	1407134	1431584	+	ATAD3B	chr1:1407000	chr1:1405000	chr1:1400000	chr1:1400000	chr1:1400000	chr1:1400000	chr1:1250000	chr1:1000000	chr1:1000000
chr17	29158987	29222883	+	ATAD5	chr17:29158000	chr17:29155000	chr17:29150000	chr17:29150000	chr17:29150000	chr17:29100000	chr17:29000000	chr17:29000000	chr17:29000000
chr6	30594618	30614600	+	ATAT1	chr6:30594000	chr6:30590000	chr6:30590000	chr6:30575000	chr6:30550000	chr6:30500000	chr6:30500000	chr6:30500000	chr6:30000000
chr10	123499935	123688316	-	ATE1	chr10:123688000	chr10:123685000	chr10:123680000	chr10:123675000	chr10:123650000	chr10:123600000	chr10:123500000	chr10:123500000	chr10:123000000
chr12	51157788	51214943	+	ATF1	chr12:51157000	chr12:51155000	chr12:51150000	chr12:51150000	chr12:51150000	chr12:51100000	chr12:51000000	chr12:51000000	chr12:51000000
chr2	175936977	176032934	-	ATF2	chr2:176032000	chr2:176030000	chr2:176030000	chr2:176025000	chr2:176000000	chr2:176000000	chr2:176000000	chr2:176000000	chr2:176000000
chr1	212738675	212794119	+	ATF3	chr1:212738000	chr1:212735000	chr1:212730000	chr1:212725000	chr1:212700000	chr1:212700000	chr1:212500000	chr1:212500000	chr1:212000000
chr22	39916563	39918691	+	ATF4	chr22:39916000	chr22:39915000	chr22:39910000	chr22:39900000	chr22:39900000	chr22:39900000	chr22:39750000	chr22:39500000	chr22:39000000
chr19	50431958	50437193	+	ATF5	chr19:50431000	chr19:50430000	chr19:50430000	chr19:50425000	chr19:50400000	chr19:50400000	chr19:50250000	chr19:50000000	chr19:50000000
chr1	161736033	161933860	+	ATF6	chr1:161736000	chr1:161735000	chr1:161730000	chr1:161725000	chr1:161700000	chr1:161700000	chr1:161500000	chr1:161500000	chr1:161000000
chr6	32083044	32096017	-	ATF6B	chr6:32096000	chr6:32095000	chr6:32090000	chr6:32075000	chr6:32050000	chr6:32000000	chr6:32000000	chr6:32000000	chr6:32000000
chr12	53901639	54020199	-	ATF7	chr12:54020000	chr12:54020000	chr12:54020000	chr12:54000000	chr12:54000000	chr12:54000000	chr12:54000000	chr12:54000000	chr12:54000000
chr12	14518565	14655869	+	ATF7IP	chr12:14518000	chr12:14515000	chr12:14510000	chr12:14500000	chr12:14500000	chr12:14500000	chr12:14500000	chr12:14500000	chr12:14000000
chr16	10479911	10577495	+	ATF7IP2	chr16:10479000	chr16:10475000	chr16:10470000	chr16:10475000	chr16:10450000	chr16:10400000	chr16:10250000	chr16:10000000	chr16:10000000
chr5	81267843	81551216	+	ATG10	chr5:81267000	chr5:81265000	chr5:81260000	chr5:81250000	chr5:81250000	chr5:81200000	chr5:81250000	chr5:81000000	chr5:81000000
chr5	115163893	115177548	-	ATG12	chr5:115177000	chr5:115175000	chr5:115170000	chr5:115175000	chr5:115150000	chr5:115100000	chr5:115000000	chr5:115000000	chr5:115000000
chr11	46638825	46697568	+	ATG13	chr11:46638000	chr11:46635000	chr11:46630000	chr11:46625000	chr11:46600000	chr11:46600000	chr11:46500000	chr11:46500000	chr11:46000000
chr14	55833108	55878576	-	ATG14	chr14:55878000	chr14:55875000	chr14:55870000	chr14:55875000	chr14:55850000	chr14:55800000	chr14:55750000	chr14:55500000	chr14:55000000
chr2	234160216	234204320	+	ATG16L1	chr2:234160000	chr2:234160000	chr2:234160000	chr2:234150000	chr2:234150000	chr2:234100000	chr2:234000000	chr2:234000000	chr2:234000000
chr11	72525450	72540680	+	ATG16L2	chr11:72525000	chr11:72525000	chr11:72520000	chr11:72525000	chr11:72500000	chr11:72500000	chr11:72500000	chr11:72500000	chr11:72000000
chr11	64662003	64684722	-	ATG2A	chr11:64684000	chr11:64680000	chr11:64680000	chr11:64675000	chr11:64650000	chr11:64600000	chr11:64500000	chr11:64500000	chr11:64000000
chr14	96747594	96829678	-	ATG2B	chr14:96829000	chr14:96825000	chr14:96820000	chr14:96825000	chr14:96800000	chr14:96800000	chr14:96750000	chr14:96500000	chr14:96000000
chr3	112251353	112280810	-	ATG3	chr3:112280000	chr3:112280000	chr3:112280000	chr3:112275000	chr3:112250000	chr3:112200000	chr3:112250000	chr3:112000000	chr3:112000000
chrX	107334896	107397901	+	ATG4A	chrX:107334000	chrX:107330000	chrX:107330000	chrX:107325000	chrX:107300000	chrX:107300000	chrX:107250000	chrX:107000000	chrX:107000000
chr2	242577026	242613271	+	ATG4B	chr2:242577000	chr2:242575000	chr2:242570000	chr2:242575000	chr2:242550000	chr2:242500000	chr2:242500000	chr2:242500000	chr2:242000000
chr1	63249776	63330941	+	ATG4C	chr1:63249000	chr1:63245000	chr1:63240000	chr1:63225000	chr1:63200000	chr1:63200000	chr1:63000000	chr1:63000000	chr1:63000000
chr19	10654569	10664099	+	ATG4D	chr19:10654000	chr19:10650000	chr19:10650000	chr19:10650000	chr19:10650000	chr19:10600000	chr19:10500000	chr19:10500000	chr19:10000000
